Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,FI,691.866,691.866,691.866,966.670,966.670,966.670
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,FI+NSh,664.358,664.358,664.358,1472.036,1472.036,1472.036
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,FI+2opt,674.000,674.000,674.000,482.715,482.715,482.715
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,FI+2.5opt,658.002,658.002,658.002,917.759,917.759,917.759
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,MST,834.240,858.204,877.509,96.704,131.480,182.620
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,MST+NSh,677.611,701.586,725.441,817.264,1191.177,2643.799
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,MST+2opt,669.684,677.160,694.356,1121.029,1758.966,3360.425
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,MST+2.5opt,662.772,675.957,693.229,2633.280,4530.692,7634.062
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,NN,1135.520,1378.530,1581.174,513.666,556.252,836.474
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,NN+NSh,691.927,755.671,835.387,1273.907,2133.860,4078.107
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,NN+2opt,665.325,695.608,726.682,3096.345,4392.565,15244.099
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,NN+2.5opt,654.331,676.428,701.349,4672.069,11979.293,19811.983
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,FI,691.226,691.226,691.226,845.454,845.454,845.454
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,FI+NSh,672.670,672.670,672.670,391.248,391.248,391.248
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,FI+2opt,675.342,675.342,675.342,355.253,355.253,355.253
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,FI+2.5opt,678.489,678.489,678.489,613.793,613.793,613.793
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,MST,834.240,858.204,877.509,91.169,108.333,200.288
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,MST+NSh,677.611,701.586,725.441,811.874,1103.394,2618.443
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 5,MST+2opt,669.684,677.160,694.356,1124.308,1838.131,4603.262
